time,/gem/base_footprint/odom.x,/gem/base_footprint/odom.y,/gem/base_footprint/odom.z,/lio_sam_lo/mapping/odometry.x,/lio_sam_lo/mapping/odometry.y,/lio_sam_lo/mapping/odometry.z
16953.826000000,-25.04,-1.50003,-0.100033,5.47844,-0.00400991,-0.0115449
16954.030000000,-24.9086,-1.50029,-0.100033,5.60856,-0.00710386,-0.0151408
16954.200000000,-24.7998,-1.50136,-0.100033,5.73111,-0.0170524,-0.0172786
16954.404000000,-24.6718,-1.50437,-0.100033,5.84563,-0.0327267,-0.018237
16954.608000000,-24.5459,-1.5098,-0.100033,5.97975,-0.0566328,-0.0222642
16954.812000000,-24.4219,-1.51802,-0.100032,6.09996,-0.0826024,-0.0272181
16955.016000000,-24.3053,-1.52906,-0.100032,6.2072,-0.114804,-0.0347502
16955.220000000,-24.1955,-1.54306,-0.100033,6.31012,-0.154486,-0.0278142
16955.390000000,-24.1051,-1.55754,-0.100033,6.41537,-0.197612,-0.0304043
16955.594000000,-23.9969,-1.57851,-0.100033,6.52037,-0.241799,-0.0272597
16955.798000000,-23.8891,-1.60342,-0.100033,6.61991,-0.292135,-0.0280291
16955.968000000,-23.7997,-1.62719,-0.100033,6.69581,-0.33167,-0.0281119
16956.172000000,-23.6931,-1.65929,-0.100033,6.79603,-0.390717,-0.0301008
16956.308000000,-23.6227,-1.68283,-0.100033,6.86581,-0.435061,-0.0327174
16956.512000000,-23.5181,-1.72132,-0.100033,6.96329,-0.501017,-0.0322154
16956.750000000,-23.3977,-1.77101,-0.100033,7.06541,-0.575679,-0.033918
16956.886000000,-23.3284,-1.80227,-0.100033,7.13747,-0.626853,-0.0354618
16957.056000000,-23.2402,-1.84449,-0.100032,7.2145,-0.683393,-0.0351823
16957.260000000,-23.141,-1.89497,-0.100032,7.29263,-0.740655,-0.0377328
16957.430000000,-23.0662,-1.9347,-0.100032,7.37408,-0.797062,-0.0381201
16957.634000000,-22.9867,-1.97812,-0.100032,7.44289,-0.841439,-0.0392345
16957.804000000,-22.9259,-2.01187,-0.100033,7.50031,-0.876966,-0.0389019
16958.008000000,-22.8523,-2.05298,-0.100033,7.57859,-0.922716,-0.0404862
16958.178000000,-22.7871,-2.08937,-0.100033,7.65254,-0.962944,-0.0419048
16958.382000000,-22.7043,-2.13559,-0.100033,7.72451,-1.00328,-0.0431464
16958.586000000,-22.6173,-2.18417,-0.100033,7.80822,-1.05019,-0.0457818
16958.790000000,-22.5265,-2.23483,-0.100033,7.90382,-1.10285,-0.0473188
16958.994000000,-22.4325,-2.28732,-0.100033,8.00527,-1.15946,-0.0489985
16959.198000000,-22.3355,-2.34145,-0.100033,8.09359,-1.20815,-0.0536429
16959.402000000,-22.236,-2.39702,-0.100033,8.20012,-1.27037,-0.0560859
16959.606000000,-22.1341,-2.45387,-0.100033,8.29401,-1.32247,-0.0573909
16959.776000000,-22.0477,-2.50212,-0.100033,8.38777,-1.37421,-0.0559528
16959.980000000,-21.9424,-2.56093,-0.100033,8.48903,-1.43181,-0.0553409
16960.184000000,-21.8354,-2.62064,-0.100033,8.5898,-1.48831,-0.0590224
16960.388000000,-21.7264,-2.68151,-0.100033,8.71399,-1.55613,-0.0631717
16960.592000000,-21.6142,-2.74413,-0.100033,8.82632,-1.61736,-0.0632529
16960.830000000,-21.4796,-2.81924,-0.100033,8.94895,-1.68624,-0.0683922
16961.000000000,-21.3813,-2.87411,-0.100033,9.05992,-1.74921,-0.0700998
16961.238000000,-21.2395,-2.95329,-0.100033,9.18084,-1.81688,-0.0719466
16961.374000000,-21.156,-2.99991,-0.100033,9.27398,-1.86902,-0.0725124
16961.578000000,-21.0277,-3.07152,-0.100033,9.39604,-1.93656,-0.0721263
16961.816000000,-20.874,-3.15733,-0.100033,9.54881,-2.02359,-0.0772497
16961.986000000,-20.7618,-3.21995,-0.100033,9.66935,-2.0878,-0.0836106
16962.190000000,-20.6249,-3.29639,-0.100033,9.80962,-2.16628,-0.0855488
16962.394000000,-20.4857,-3.37407,-0.100033,9.95923,-2.2484,-0.0880959
16962.598000000,-20.3446,-3.45286,-0.100033,10.0879,-2.32169,-0.0906349
16962.768000000,-20.2256,-3.51925,-0.100033,10.2111,-2.39166,-0.0908489
16962.972000000,-20.0815,-3.59971,-0.100033,10.3563,-2.47394,-0.0972672
16963.176000000,-19.936,-3.68092,-0.100033,10.4997,-2.55193,-0.100854
16963.346000000,-19.8139,-3.7491,-0.100033,10.6306,-2.62503,-0.104583
16963.550000000,-19.6664,-3.83145,-0.100033,10.784,-2.70867,-0.108904
